id,Tipo de vivienda,Barrio,Localidad,Superficie total (m2),Superficie util (m2),Habitaciones,Baños,Año de construccion,Vistas al exterior,Ascensor,Terraza,Balcon,garage,Piscina,Jardin,Aire acondicionado,Calefacción,orientacion,Nota,Estado,Interes,Precio de compra (€),Precio de alquiler,Numero de Planta,Tipo de planta,Certificado energético,Ubicacion: calle y numero,Gastos de la comunidad (€ por mes),Tipo de calefaccion,precio por metro cuadrado (€),Provincia,Distrito,Codigo postal,Vistas al mar,Armarios empotrados,Vivienda accesible,Trastero o bodega,Muebles,Vigilancia,Vivienda de lujo,"Ubicacion: Piso y número, letra o portal",ID de inmobiliaria,Nombre de inmobiliaria,Nombre vivienda,ID mapa ubicacion,Nombre mapa de Ubicacion
97791792,Flat / apartment,El Raval,Barcelona,89,80.0,2,2,1920.0,True,False,False,True,False,False,False,True,True,north,"MERC SANT ANTONI - RAMBLA RAVAL, two apartments on the same surface, high profitability. currently temporarily rented to students, Erasmus, etc. Rent apartment ""A"" (900. -€ ) and apartment ""B"" (800. - ) are equipped, furnished and with new facilities 5 years ago, two equipped bedrooms, living room in each apartment, modern and functional, two bathrooms equipped with washer and dryer, impeccable with charm, careful renovation down to the last detail, sold free of tenants, contracts that terminate in 2 months.Location RAMBLA RAVAL, close to the bus, FCG, and the L1 and L2 metro station, theaters, cinema, high school, 200 meters from the Sant Antoni Market, Plaza Universitat near the Goya theater, MACBA Museum of Contemporary Art of Barcelona.Excellent purchase opportunity to enjoy the city center, you can live in one of the apartments and rent another, or continue with temporary leases, with high return on investment.",en buen estado,comprar,279999.0,,3,Intermedia,F,rambla del Raval 173,63.0,Otro tipo de calefaccion,3146.06,Barcelona,Ciutat Vella,08001,No,Sí,No,No,No,No,Sí,3º D,1,Lucas Fox Barcelona,Flat / apartment Rambla Del Raval 173,1,El Raval
104245206,Flat / apartment,El Raval,Barcelona,75,70.0,3,2,1970.0,True,True,False,True,False,False,False,True,True,south,"Apartment with elevator and balcony in Avenida Paralelo completely renovated with great taste.It has three bedrooms and a bathroom. We also find a gallery with the dining table and views of the outside.The master bedroom overlooks the balcony and is bright as is the living room with a very good distribution.Spacious and very nice.It has a lot of height,We find all the nearby services and the metro stop Paralelo a few minutes walk. We also have Plaça de les Drassanes and the sea a few meters away.For more information, contact us.",reformado,comprar,350000.0,,5,Intermedia,D,avenida del Paral·lel 149,62.0,Otro tipo de calefaccion,4666.67,Barcelona,Ciutat Vella,08001,No,No,Sí,No,No,No,No,5º D Portal 1,1,Lucas Fox Barcelona,Flat / apartment Av. Del Paral·Lel 149,1,El Raval
99616397,Flat / apartment,El Raval,Barcelona,45,32.0,1,1,1850.0,True,True,False,True,False,False,False,True,True,south,"In the Ciutat Vella district, in the heart of the Raval neighborhood, we offer you a fully renovated apartment with elevator in a restored building: ideal to move into.The property has 36 m2 (USEFUL), very bright and with views of St. Bartolomeu, lots of natural light and balcony.It is a main with a double room and direct access to the balcony!The living room and the kitchen have a single room with ceramic hob, oven, washing machine and fridge.Microcement floor, exposed brick walls and ceilings.It has aerothermal air conditioning: a state-of-the-art system that consumes less energy and is both air conditioning, heating and also hot water, without the need to hire gas or fuel supplies.Very central apartment and very well connected. In the neighborhood you can also enjoy its great commercial and leisure activity, as well as the most emblematic attractions in all of Barcelona, such as the Rambla, the Boquería, the Teatre Liceu and the Museu d'Art Contemporani among others.- Air conditioning.- Elevator.- Double room.- Complete bathroom with shower tray, 3 pieces.- The living room and kitchen with a ceramic hob, oven, washing machine and fridge- Micro-foundation floor, exposed brick walls and ceilings- It has aerothermal air conditioning since it is a state-of-the-art system that consumes less energy and is both air conditioning, heating and also hot water without the need to contract gas or fuel supplies- Last quality finishes.",en buen estado,comprar,186000.0,,1,Intermedia,E,calle sant marti 80,38.0,Otro tipo de calefaccion,4133.33,Barcelona,Ciutat Vella,08001,No,No,Sí,No,No,No,No,1º B Portal 3,1,Lucas Fox Barcelona,Flat / apartment C. Sant Marti 80,1,El Raval
104257016,Flat / apartment,Horta,Barcelona,76,70.0,3,1,1968.0,True,True,False,False,False,False,False,False,True,south,"Floor 1st, flat total surface area 76 m², usable floor area 70 m², single bedrooms: 4, 1 bathrooms, age over 50 years, built-in wardrobes, lift, heating (natural gas), ext. woodwork (wood), internal carpentry, kitchen, dining room, state of repair: in good condition, gas, utility room, furnished, automatic door phone, lands: stoneware, exterior, energy emission rate: D, 20, energy consumption rate: D, 100.",en buen estado,comprar,210000.0,,1,Intermedia,C,calle de Santa Joana d'Arc 213,65.0,Caldera de gas natural,2763.16,Barcelona,Horta-Guinardó,08031,No,Sí,Sí,Sí,No,Sí,No,1º C Portal 2,1,Lucas Fox Barcelona,Flat / apartment C. De Santa Joana D'Arc 213,2,Horta
103395490,Flat / apartment,Sant Pere - Santa Caterina i la Ribera,Barcelona,161,136.0,4,2,1940.0,True,True,True,True,False,False,False,True,True,north,"We have the pleasure of introducing this apartment to renovate located in the heart of Barcelona, in a fantastic location on the crossroad between Eixample Right and Born. Situated on a quiet street, this property offers a location with excellent amenities.It is an exciting investment opportunity in one of Barcelona's most coveted locations, with adjacent streets such as Via Laietana undergoing a transformation into a semi-pedestrian tree-lined avenue with green spaces connecting the centre of Barcelona to the old port. Adjacent Calle Jonqueras has also become a beautiful pedestrian street, showcasing the stunning modernist buildings that adorn the area.This second-floor apartment radiates natural light and features two spacious balconies adorned with stone details with space for a small table and beautiful views of the surrounding landmarks. Original architectural elements, such as hydraulic tiles, wooden carpentry, white marble details, coffered ceilings, and decorative elements, add charm to the apartment.The layout includes a generous living area and a separate sleeping area with large windows and a welcoming entrance. With a renovation, the apartment can accommodate two ensuite master bedrooms, an additional double bedroom, an office, and a spacious living-dining room with views of the street and a large kitchen. The current layout includes two bathrooms with bathtubs and a total of four bedroomsGas heating with radiators is available in all rooms, ensuring comfort during the colder months. Additionally, there is a good-sized storage room located on the communal rooftop terrace of the building. The building has an elevator and consists of five floors with only two neighbors per floor.Convenience is unparalleled, as the property is located next to the Urquinaona metro station, Plaza Catalunya, and the Palau de la Música Catalana. Additionally, ample parking is conveniently located in the building next door.For more information or to arrange a visit, please contact Domenech Smith Boutique Properties.",a reformar,comprar,750000.0,,1,Intermedia,D,calle d'Ortigosa 203,137.0,Caldera de gas natural,4658.39,Barcelona,Ciutat Vella,08003,No,No,Sí,No,No,Sí,No,1º D Portal 2,1,Lucas Fox Barcelona,Flat / apartment C. D'Ortigosa 203,3,Sant Pere - Santa Caterina i la Ribera
104162588,Flat / apartment,Sant Pere - Santa Caterina i la Ribera,Barcelona,74,66.0,2,2,1970.0,True,True,True,False,False,False,False,True,True,north,"Recently renovated and ready to move into, this property is located next to the Parc de la Ciutadella and near the Passeig de Sant Joan.On the fourth real floor and in a building with a lift, we find an apartment, with a square shape that has very well used spacesIn the night area we have two double bedrooms, one en suite and exterior. Both rooms have fitted wardrobes. There is the possibility of obtaining a third single and exterior bedroom in the living room area.In the day area we have a kitchen, with a modern design, it is independent from the living room and equipped with top brand panelled appliances, such as the refrigerator, the dishwasher and the microwave.The wooden furniture is custom made, with a microcement wall. The living room, facing northwest and with access to the quiet balcony (with space for a small table and chairs), allows you to create three different areas: dining room, living room and work area.The apartment has two bathrooms, one of them en suite with one of the bedrooms, both bathrooms have towel radiators.The house has quality details, such as natural wood floors, air conditioning and heating through ducts, taps in matt black, oak wood doors and exterior carpentry with double glazing. The lighting is adjustable to adapt to different needs.The location is unbeatable, steps from the Parc de la Ciutadella and close to the best beaches in the city. Surrounded by services, restaurants and shops, it is ideal for a quiet life and in a very familiar area.",reformado,comprar,535000.0,,3,Intermedia,E,paseo de Pujades 252,61.0,Bomba de calor (Aerotermia),7229.73,Barcelona,Ciutat Vella,08003,No,Sí,Sí,No,No,No,No,3º A Portal 2,1,Lucas Fox Barcelona,Flat / apartment Paseo De Pujades 252,3,Sant Pere - Santa Caterina i la Ribera
104218758,Penthouse,La Dreta de l'Eixample,Barcelona,188,144.0,2,2,1997.0,True,True,True,False,False,False,False,True,True,south,"We present this exclusive designer penthouse in the Dreta de l´Eixample district, in the ""Quadrat dor"" on Girona street, in a stately building dating from 1900 renovated in 1997.It is a quiet building, with 2 neighbors per floor and a total of 5 floors, located in one of the streets of the new ""Super illa"", so it enjoys being a completely pedestrian street, wide, very well-kept, with plants and trees, with all kinds of local shops, very emblematic and full of charming buildings.The property is characterized by its spacious rooms, it has a constructed area of 188 m2, of which 144m2 are useful + 69.51m2 of terrace. The house is distributed in day and night areas for greater comfort. When we enter the house we find a hall and a courtesy toilet, with parquet flooring. On the left hand side we enter the night area, with two large double bedrooms, facing the street so they enjoy natural light.The master bedroom has its en suite bathroom built with natural stone and black designer tiles, and flooring also from the same series, the taps are from the Danish brand Vola. The bathroom sink is from the designer brand Alape, luxury bathroom furniture and accessories. The doors are custom-made, floor-to-ceiling, veneered and sliding. The guest room and the dressing room are accessed through white lacquered doors.The floor is solid IPE interior parquet, one of the species best known by professionals in the sector due to its extraordinary characteristics, since it has incredible hardness and resistance, highly valued for being soft, pleasant to the touch, hygienic and durable. Between the two rooms there is a large dressing room with white lacquered furniture made up of several modules with hanging bars, sections with drawers, a complete module as a shoe rack and a mirror.Leaving the night area through the hall-office, we find a spacious and diaphanous living-dining room of more than 50m2, with large windows facing a very beautiful and quiet block patio, it has morning sun and enjoys natural light all day. The windows are made of two-tone aluminum with thermal bridge break and double glazing for better noise insulation and better temperature control.The kitchen is open to the dining room, and the countertop is made of Macael marble, the kitchen fires are from the Smeg brand, as well as the toaster and the blender.The lighting of the house is from the prestigious design house Vibia, the light is at the base of the design of the space, and all the spaces enjoy lamps designed to create better living spaces.The property is equipped with Daikin brand ducted air conditioning, gas heating by radiators, Sonos wireless sound system, 65” TV in the living room and 42” in the master bedroom.From the living room, a floating staircase gives us access to the upper floor, which consists of the laundry area and a wonderful 69-square-meter terrace, with spectacular views, decorated with beautiful plants, with an automated irrigation system and a shower to cool off on hot summer days. The floor and side panels of the terrace are made of Teak, a material capable of surviving in very humid environments in very good conditions.The Dreta de L'Eixample begins in Plaça de Catalunya and its central axis revolves around Passeig de Gràcia and the Cuadrat d'Or. It is delimited from the busy Calle Balmes to the renovated Passeig de Sant Joan and from the commercial Ronda Sant Pere to the convenient Avinguda Diagonal.The place we love, that is our home; a home that our feet can leave, but not our hearts.",en buen estado,comprar,1275000.0,,5,Intermedia,E,calle de Girona Nn 229,160.0,Caldera de gas natural,6781.91,Barcelona,Eixample,08007,No,Sí,Sí,No,Sí,Sí,Sí,5º A Portal 1,1,Lucas Fox Barcelona,Penthouse C. De Girona Nn 229,4,La Dreta de l'Eixample
103684992,Flat / apartment,La Dreta de l'Eixample,Barcelona,187,167.0,4,2,1899.0,True,True,False,True,False,False,False,False,True,east,"Incredible opportunity in the heart of Barcelona's Quadrat D'or! This apartment for sale is located on Provença Street, next to Avenida Diagonal, in an exceptional location surrounded by services and shops in the area. The property, to be rehabilitated, is located in a royal estate from 1899 that has been completely rehabilitated.Upon entering, you will be greeted by a spacious hall that will take you to the bright living room, with access to a covered terrace facing southeast. Enjoy abundant natural light throughout the morning and spectacular views of a beautiful block patio typical of Barcelona's Eixample.The kitchen, with access to a patio, and the bathroom complete the day area of this apartment. In the night area, you will find four large bedrooms, one of them with a beautiful gallery facing Provença Street. The coffered ceilings, original hydraulic mosaic floors and original wooden sliding doors are just some of the small details that make this property unique in the area.With a constructed area of 187 m² and a useful area of 167 m², this apartment has four bedrooms and two bathrooms. In addition, it has a balcony and is second-hand/to be renovated. The building has an elevator and the apartment is on the third floor, which gives it pleasant light. The north-east orientation completes this incredible real estate offer.Don't miss the opportunity to acquire this apartment with enormous potential and create the home of your dreams in one of the most exclusive areas of Barcelona. Contact us right now for more information!",a reformar,comprar,1150000.0,,3,Intermedia,E,calle de Provença 164,159.0,Caldera de gas natural,6149.73,Barcelona,Eixample,08007,No,Sí,Sí,Sí,No,No,Sí,3º C Portal 3,1,Lucas Fox Barcelona,Flat / apartment C. De Provença 164,4,La Dreta de l'Eixample
103681742,Flat / apartment,La Dreta de l'Eixample,Barcelona,187,167.0,4,2,1899.0,True,True,False,True,False,False,False,False,True,north,"Apartment for sale in the Quadrat D'or of Barcelona, located on Provença street next to Avenida Diagonal. This property is surrounded by all the services and shops in the area, offering an exceptional location. The property, a restored royal estate from 1899, is completely to be rehabilitated, which provides the opportunity to personalize it according to your tastes and needs.Upon entering the apartment, you will be greeted in a large hall that gives access to all rooms. The beautifully designed living room has access to a covered terrace facing southeast, allowing you to enjoy plenty of natural light throughout the morning. From the terrace, you can contemplate the views of a beautiful block patio typical of Barcelona's Eixample.It consists of 4 large bedrooms, one of them with a beautiful gallery facing Provença Street. The coffered ceilings, original hydraulic mosaic floors and original wooden sliding doors are details that add charm and character to this unique property in the area.The apartment is located on the 3rd floor and has an elevator. Don't miss the opportunity to acquire this property with great potential in a privileged location in Barcelona. Contact us for more information!",a reformar,comprar,1150000.0,,3,Intermedia,C,calle de Provença 227,167.0,Caldera de gas natural,6149.73,Barcelona,Eixample,08007,No,Sí,Sí,Sí,No,Sí,Sí,3º B Portal 2,1,Lucas Fox Barcelona,Flat / apartment C. De Provença 227,4,La Dreta de l'Eixample
102926182,Flat / apartment,Sant Andreu,Barcelona,66,50.0,2,1,1973.0,True,True,True,True,False,False,False,True,True,west,"You can contact us via WhatsApp at 689//972//777Renovated apartment for sale with terrace at the foot of the floor. Exterior of the quiet and bright center of the block.66m2 in writing, approximately 50m of floor (not counting terrace). Reinforced door. Hall with closet. Outdoor dining room with access to the terrace. Renovated kitchen with gallery. 2 bedrooms: 1 double exterior to the terrace and another single exterior to the patio. Bathroom with shower tray and screen. Air conditioning with heat pump in the dining room. Terrace of approx. 12m2. Midday-afternoon sun (west orientation). Parquet floors. New doors, some sliding. Climalit white aluminum. Estate with several elevators.The property leaves some furniture and appliances.Close to the L1 Torras i Bages metro and several bus lines H4, V31, 60, etc.Well-connected area with a variety of services: CAP, parks, supermarkets, etc.If you have any questions, you can contact us.",en buen estado,comprar,230000.0,,1,Intermedia,D,calle Gran de Sant Andreu 147,58.0,Bomba de calor (Aerotermia),3484.85,Barcelona,Sant Andreu,08030,No,Sí,Sí,No,No,No,No,1º A Portal 3,1,Lucas Fox Barcelona,Flat / apartment C. Gran De Sant Andreu 147,5,Sant Andreu
